Freq.	V(vout)/V(vin)
1.20226443461740e+003	(-3.02716055745164e+001dB,1.39789751817618e+002°)
1.23026877081237e+003	(-2.99459672277644e+001dB,1.39080315711395e+002°)
1.25892541179416e+003	(-2.96225141599104e+001dB,1.38365491091923e+002°)
1.28824955169312e+003	(-2.93012717757746e+001dB,1.37645539338292e+002°)
1.31825673855640e+003	(-2.89822635988089e+001dB,1.36920729420856e+002°)
1.34896288259164e+003	(-2.86655111870449e+001dB,1.36191337214760e+002°)
1.38038426460287e+003	(-2.83510340559846e+001dB,1.35457644767067e+002°)
1.41253754462274e+003	(-2.80388496091048e+001dB,1.34719939521044e+002°)
1.44543977074591e+003	(-2.77289730765910e+001dB,1.33978513501716e+002°)
1.47910838816819e+003	(-2.74214174628607e+001dB,1.33233662467157e+002°)
1.51356124843619e+003	(-2.71161935033654e+001dB,1.32485685030444e+002°)
1.54881661891247e+003	(-2.68133096310897e+001dB,1.31734881757505e+002°)
1.58489319246110e+003	(-2.65127719530828e+001dB,1.30981554246387e+002°)
1.62181009735891e+003	(-2.62145842372718e+001dB,1.30226004193702e+002°)
1.65958690743754e+003	(-2.59187479097198e+001dB,1.29468532454141e+002°)
1.69824365246173e+003	(-2.56252620623961e+001dB,1.28709438099074e+002°)
1.73780082874936e+003	(-2.53341234714373e+001dB,1.27949017480215e+002°)
1.77827941003891e+003	(-2.50453266257813e+001dB,1.27187563304326e+002°)
1.81970085860997e+003	(-2.47588637659711e+001dB,1.26425363724770e+002°)
1.86208713666285e+003	(-2.44747249328335e+001dB,1.25662701455557e+002°)
1.90546071796323e+003	(-2.41928980256579e+001dB,1.24899852913245e+002°)
1.94984459975803e+003	(-2.39133688694229e+001dB,1.24137087391756e+002°)
1.99526231496886e+003	(-2.36361212905495e+001dB,1.23374666274793e+002°)
2.04173794466951e+003	(-2.33611372005944e+001dB,1.22612842290123e+002°)
2.08929613085402e+003	(-2.30883966872472e+001dB,1.21851858809545e+002°)
2.13796208950221e+003	(-2.28178781119466e+001dB,1.21091949197866e+002°)
2.18776162394953e+003	(-2.25495582133985e+001dB,1.20333336213698e+002°)
2.23872113856832e+003	(-2.22834122162507e+001dB,1.19576231464384e+002°)
2.29086765276775e+003	(-2.20194139441630e+001dB,1.18820834916817e+002°)
2.34422881531990e+003	(-2.17575359365062e+001dB,1.18067334465387e+002°)
2.39883291901947e+003	(-2.14977495679228e+001dB,1.17315905557796e+002°)
2.45470891568501e+003	(-2.12400251699951e+001dB,1.16566710878964e+002°)
2.51188643150955e+003	(-2.09843321542834e+001dB,1.15819900092778e+002°)
2.57039578276884e+003	(-2.07306391360245e+001dB,1.15075609641008e+002°)
2.63026799189535e+003	(-2.04789140578100e+001dB,1.14333962598267e+002°)
2.69153480392689e+003	(-2.02291243126052e+001dB,1.13595068581556e+002°)
2.75422870333814e+003	(-1.99812368655083e+001dB,1.12859023712580e+002°)
2.81838293126442e+003	(-1.97352183736979e+001dB,1.12125910630727e+002°)
2.88403150312658e+003	(-1.94910353040655e+001dB,1.11395798554368e+002°)
2.95120922666635e+003	(-1.92486540480787e+001dB,1.10668743387921e+002°)
3.01995172040198e+003	(-1.90080410334756e+001dB,1.09944787871967e+002°)
3.09029543251356e+003	(-1.87691628324404e+001dB,1.09223961773583e+002°)
3.16227766016835e+003	(-1.85319862659641e+001dB,1.08506282113983e+002°)
3.23593656929625e+003	(-1.82964785041432e+001dB,1.07791753430509e+002°)
3.31131121482588e+003	(-1.80626071622196e+001dB,1.07080368070025e+002°)
3.38844156139199e+003	(-1.78303403922101e+001dB,1.06372106510787e+002°)
3.46736850452528e+003	(-1.75996469700207e+001dB,1.05666937709905e+002°)
